image_stem,width,height,mean_luminance,grayscale_std,gt_count,tp_count,fn_count,fp_count,max_gt_pairwise_iou
000016_021_suppl_00000310,1920,1080,116.24687741126543,47.848008642753214,4,3,1,0,0.5341500297381628
000016_034_00000067,1920,1080,98.94090277777778,54.24512484668575,7,6,1,5,0.48613001341800266
000016_034_00000199,1920,1080,120.30644772376543,56.800385571045645,8,6,2,8,0.06914236208872618
000016_034_00000265,1920,1080,119.50015335648148,56.11787725617236,9,6,3,2,0.3477476761738304
000016_034_suppl_00000330,1920,1080,121.60542245370371,54.84481761486775,8,6,2,4,0.22184825567956418
000016_042_00000261,1920,1080,114.89097029320988,56.760819360295066,3,1,2,1,0.9715099863904104
000017_012_suppl_00000335,1920,1080,126.22576533564815,56.58560602348319,3,2,1,2,0.0
000017_015_suppl_00000162,1920,1080,100.54270881558642,52.16397917354345,6,6,0,3,0.3188266148158484
000019_005_00000001,1920,1080,111.62969907407407,84.2333586622432,2,1,1,0,0.0
000019_005_00000066,1920,1080,84.81204475308643,69.14303557847104,2,2,0,0,0.0
000019_005_00000196,1920,1080,96.82714747299383,65.54529964791706,4,2,2,0,0.0
000019_029_00000205,1920,1080,120.8798152970679,43.28767518253827,1,1,0,1,0.0
000020_011_00000076,1920,1080,101.73042197145061,52.28941012400415,6,4,2,2,0.18274598254176666
000020_011_00000151,1920,1080,119.71453366126543,56.122358579470706,7,3,4,5,0.2565040680833762
000020_014_00000001,1920,1080,112.23707561728395,63.803645501006045,6,4,2,7,0.04651505595615393
000020_014_00000129,1920,1080,109.19255160108025,62.37789860793051,7,3,4,1,0.8543637109388833
000020_014_00000193,1920,1080,102.60712625385803,60.679259181681246,7,5,2,5,0.1709793229406991
000023_005_00000070,1920,1080,107.70690682870371,49.17272455755326,7,4,3,0,0.011519389092395077
000023_005_00000139,1920,1080,103.47149112654321,51.734893557025806,5,3,2,0,0.16984034495863148
000023_008_00000068,1920,1080,109.42987606095679,51.097064048278256,3,1,2,1,0.3546769007025457
000023_008_00000202,1920,1080,116.92461709104938,52.38830170352921,5,2,3,2,0.2622751098424883
000023_008_00000269,1920,1080,104.5170346257716,51.977155801886894,4,3,1,0,0.20348617208957406
000023_009_00000217,1920,1080,101.06566888503086,49.20726844232566,3,3,0,1,0.0
000032_028_00000009,1920,1080,105.99984375,50.944608711857725,8,7,1,2,0.48515844873820724
000032_028_00000017,1920,1080,124.43083285108025,54.35724732240203,6,6,0,3,0.3744974277277139
000040,1920,1080,127.41500771604939,43.37076154132324,25,14,11,7,0.1894462761042666
000050,1920,1080,131.2928125,39.5360361390309,37,25,12,15,0.3520327627283087
000051,1920,1080,121.92688512731482,45.79277719551297,38,25,13,21,0.20166354552059054
000109,1920,1080,113.74090760030865,63.632648766109675,1,1,0,0,0.0
000182,1920,1080,115.77524932484567,86.2278148230127,1,1,0,0,0.0
000186,1920,1080,113.80559076003087,93.08105222683434,7,3,4,2,0.0
000190,1920,1080,90.1952416087963,67.36018866367597,6,1,5,0,0.11708946532234886
000203,1920,1080,114.82550298996914,43.63468624516527,4,4,0,1,0.06844219436888696
000224,1920,1080,106.72738763503087,57.71314575062497,2,2,0,1,0.0
000235,1920,1080,101.14767264660493,66.99768629892989,1,1,0,0,0.0
000282,1920,1080,104.04519290123457,65.11788736485911,16,10,6,7,0.3117231722503592
000303,1920,1080,91.558956404321,68.70162883949324,9,7,2,2,0.3385146363318194
000323,1920,1080,92.74874903549383,66.31107793995899,2,2,0,1,0.0
000336,1920,1080,102.99334249614198,73.7624443789566,15,11,4,7,0.15354537199887205
000350,1920,1080,91.03826967592593,53.16306176040418,1,1,0,0,0.0
000380,1920,1080,85.5357103587963,78.86422113991138,3,1,2,1,0.0
000404,1920,1080,101.89220871913581,59.56212352735258,1,1,0,1,0.0
000418,1920,1080,98.38260850694445,55.124908633022564,1,1,0,0,0.0
000429,1920,1080,114.52830005787037,53.10847673900354,2,1,1,1,0.11407022019949094
000463,1920,1080,104.60216772762345,49.21838349979196,2,2,0,1,0.0
000495,1920,1080,96.91242476851852,51.80755175950122,3,3,0,0,0.0
000508,1920,1080,111.8447868441358,40.51941682427109,7,3,4,0,0.0
000524,1920,1080,133.23124083719136,63.64247246986261,2,1,1,0,0.0
000525,1920,1080,117.39123746141975,55.97245986984581,2,1,1,0,0.0
000546,1920,1080,105.79884307484568,61.862328491989985,2,2,0,0,0.15987751707605452
000554,1920,1080,104.15128327546296,54.694853708778965,2,2,0,1,0.0
000575,1920,1080,115.96919560185185,56.76328578072754,2,0,2,3,0.0
000693,1920,1080,101.27179398148148,66.16066627610387,13,8,5,3,0.10674324070522336
000738,1920,1080,104.34525462962964,61.88774821638553,4,1,3,0,0.0
000779,1920,1080,97.7611752507716,71.42904190763953,6,2,4,1,0.02542140116130704
000780,1920,1080,103.08322530864197,65.8577780789916,5,2,3,0,0.09441750118355212
000788,1920,1080,105.48501880787038,78.7643976238532,8,3,5,1,0.02503850627142935
000794,1920,1080,118.40344087577161,38.451503712537445,2,1,1,0,0.0
000795,1920,1080,119.35388069058642,39.05308037582079,1,1,0,0,0.0
000834,1920,1080,107.18888358410494,56.06297734854782,1,1,0,0,0.0
000872,1920,1080,100.12066647376543,59.174771099704444,1,1,0,0,0.0
000917,1920,1080,93.45690923996914,82.87390592480058,1,1,0,0,0.0
000926,1920,1080,128.3574821566358,26.706600744908847,3,1,2,0,0.0
000946,1920,1080,97.99171392746914,55.08728326748035,5,3,2,1,0.021317177407221995
000952,1920,1080,100.92698832947531,59.58605990124246,3,2,1,0,0.0
000962,1920,1080,103.77825713734568,88.71695629881239,5,4,1,2,0.0836076522026046
000976,1920,1080,89.22377266589505,75.09165891227565,1,1,0,1,0.0
000984,1920,1080,105.05655671296296,47.12196468705277,12,8,4,4,0.08339007516276004
001015,1920,1080,91.39795910493827,89.01881925633221,13,2,11,4,0.31283761429017626
001039,1920,1080,107.89651861496914,78.91066710857532,12,9,3,3,0.09709315662249646
001103,1920,1080,102.63831645447532,71.06021087880485,5,4,1,1,0.18501987466861428
001112,1920,1080,107.00076437114197,63.03689095927532,12,9,3,1,0.5678010508958675
001119,1920,1080,101.8870630787037,44.15656526340535,7,7,0,2,0.48574690113021907
001138,1920,1080,120.68853732638888,72.60958517410047,9,7,2,2,0.11782500109117235
001139,1920,1080,125.35090133101852,72.69565681643375,12,4,8,7,0.46157806203878954
001144,1920,1080,116.82787712191357,62.09031215799188,7,7,0,2,0.3212488467478924
001157,1920,1080,109.59258632330247,65.7909765236213,10,8,2,5,0.201443967167007
001173,1920,1080,92.40013888888889,71.36708298735647,4,4,0,2,0.0
001202,1920,1080,127.25835792824074,38.91158558069702,13,13,0,1,0.06058808547993851
001206,1920,1080,127.38986786265433,38.79889885095431,13,13,0,1,0.05275262291945766
001210,1920,1080,127.43646074459876,38.881846760617094,13,13,0,2,0.08398421100814532
001211,1920,1080,127.22147907021605,32.05070434315911,15,15,0,1,0.12673322171574156
001252,1920,1080,132.5593113425926,30.588819137065975,15,15,0,2,0.15922291474156508
001257,1920,1080,133.80635223765432,29.204353373176634,14,14,0,2,0.12628984116930325
001260,1920,1080,133.86496624228394,29.265266042795062,13,13,0,2,0.13540748293416205
001265,1920,1080,131.1008241705247,37.9723306419618,13,13,0,0,0.12185736711675449
001270,1920,1080,129.20990354938272,36.614981223937235,12,12,0,0,0.05171110988141048
001273,1920,1080,127.64013213734567,38.120877551633235,15,15,0,4,0.1454210808618668
001295,1920,1080,109.20349295910493,53.39811257120694,27,16,11,12,0.22790707322875528
001306,1920,1080,118.47923514660494,42.26437050097885,15,8,7,3,0.2738705979247158
001313,1920,1080,117.70718605324075,47.720592101858905,18,8,10,4,0.1956493797449295
001332,1920,1080,115.37520736882716,43.71572367288056,3,3,0,1,0.0
001346,1920,1080,120.756473283179,67.33827669821194,10,8,2,2,0.18841950340754773
001359,1920,1080,103.82685281635803,38.1039001872749,6,6,0,1,0.33350305797079727
001379,1920,1080,111.81306616512346,47.84554030458508,4,3,1,6,0.08999513355527955
001400,1920,1080,127.80013937114198,39.52381347829622,2,1,1,1,0.0
001415,1920,1080,125.75508053626544,38.333295258237364,4,4,0,0,0.0
001496,1920,1080,107.72176552854938,53.865858930513255,2,2,0,0,0.0
001507,1920,1080,112.22087239583334,53.69594758855989,1,1,0,0,0.0
001542,1920,1080,114.41083043981482,53.43058865479465,2,2,0,0,0.0
001548,1920,1080,109.45752363040124,48.87591574796803,2,2,0,0,0.0
001578,1920,1080,106.32272569444444,53.02487839602446,1,1,0,2,0.0
001610,1920,1080,88.33240210262346,73.78142738570008,4,4,0,0,0.0
001624,1920,1080,117.55028838734567,62.889388026626484,3,3,0,0,0.24198876664984073
001651,1920,1080,136.36666232638888,33.0433863103951,10,10,0,3,0.0973725970075
001655,1920,1080,136.50701388888888,32.83109702261167,10,10,0,3,0.07985801884630155
001683,1920,1080,135.62212962962963,32.7400348031848,9,9,0,3,0.08455996844432678
001685,1920,1080,135.5886897183642,32.959977552252184,10,10,0,2,0.24842652223407685
001694,1920,1080,133.35765094521605,32.879136657941636,16,16,0,2,0.11508281390811446
001742,1920,1080,126.82246672453704,30.72405870244654,2,1,1,0,0.0
001763,1920,1080,137.2458839699074,30.014408427248643,2,2,0,0,0.007500633799815648
001764,1920,1080,137.10858169367285,30.461626203361167,2,2,0,0,0.00813062456432898
001767,1920,1080,138.06682339891975,30.126080912806966,2,2,0,0,0.0032468854568132306
001835,1920,1080,134.57603153935185,29.706193147804264,17,16,1,1,0.13871467350715302
001886,1920,1080,133.96674238040123,35.921279977946774,12,11,1,2,0.027483440527614575
001897,1920,1080,133.0263040123457,31.176212587872875,16,16,0,1,0.0862929426737608
001898,1920,1080,132.34970244984567,30.16622421659569,16,16,0,1,0.08583856086695563
